0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/stylesheets/reset-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/game.js HTTP/1.1" 200 20230
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/logo_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/logo_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/footer_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/game.jsp?game_id=39 HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/stylesheets/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/javascript/chess.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/javascript/chess.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/stylesheets/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/javascript/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/stylesheets/reset-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/javascript/game.js HTTP/1.1" 200 20230
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/images/logo_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/images/footer_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:19 +0530] "GET /cmc/images/logo_right.gif HTTP/1.1" 304 -
